fecha,medio,titulo,enlace,nivel_coincidencia,elenco_o_cuerpo,sentimiento,tema_principal,obra_mencionada,resumen_gemini,keywords_detectadas
2025-02-15 18:19,Cooltivarte Portal,Jerry Rivera llega por primera vez a Uruguay con un show sin precedentes - Cooltivarte Portal,https://news.google.com/rss/articles/CBMipwFBVV95cUxNd3pyWjhMZlRNN0hjbWdOaWtXZ21rVW9EMWE3VGVSN01DX3pOMURXZ2xacnRhNGxqRUJOY3EyOWhLNnI5RHlhNlBKT291UWNBRl9GRHhXclJpRFo4d0xOdEFYYXNsaUJOM19EaWtXUXdOZ016RWlncl83eUpFZ1ZHV1VPUzZGa3Ezb1FSbE56Vk9WNUd0WmJTV2E1QVNIM0RmbjlOY3p5NA?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNd3pyWjhMZlRNN0hjbWdOaWtXZ21rVW9EMWE3VGVSN01DX3pOMURXZ2xacnRhNGxqRUJOY3EyOWhLNnI5RHlhNlBKT291UWNBRl9GRHhXclJpRFo4d0xOdEFYYXNsaUJOM19EaWtXUX",Sodre Uruguay
2025-12-22 08:00,GUB.UY,Descentralización territorial y formación artística serán pilares de la gestión del Sodre en este quinquenio - GUB.UY,https://news.google.com/rss/articles/CBMikgFBVV95cUxQTFI3Qkh3cTdHSUluQ3RCZUt4eE5NLUJJQXFCbFREMHhzVEN2bUI0dGc5ZEM0WlNGY3NjcndINTM2ZXdsU0pVYmhBbzJxZ0puZ3FCR3NaTDZpTkNJQnI4SE5IZ3JzajJXanpFY2ZnMkg2aGVzdl9yNUxZTk9nZ3dHeVFHb3d1bVVqc1p6UDh0cFpBQQ?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQTFI3Qkh3cTdHSUluQ3RCZUt4eE5NLUJJQXFCbFREMHhzVEN2bUI0dGc5ZEM0WlNGY3NjcndINTM2ZXdsU0pVYmhBbzJxZ0puZ3FCR3NaTDZpTkNJQnI4SE5IZ3JzajJXanpFY2ZnMk",Sodre Uruguay
2025-11-10 08:00,El Observador,"El Sodre presenta Carmina Burana para apoyar a niñas, niños y adolescentes del país, con la dirección de María Ricetto - El Observador",https://news.google.com/rss/articles/CBMizAFBVV95cUxQLWpDVlpKSTd2YVZvRmNERGJEaWFlNmp0UDFTT0FyYlVFbFVZdU5VZ2k2VGVKQUxUcTdZcE5rNWJoTlZ5d0ltVWV5Q0VhTkU5emo1RjF2cTFNOE9tYlFZa2RtcWtOMXBIN2RfYUhtV25IR3ZjM04yNmpTQmNydW03Qm03aVRQRDFyM09TTVAwR01KNUFyVkxkWUZ2b29PZmR5RFlNM0hYRk5oWVBpUUFHdlAxelVLazJyd0lkYW1VS3o4akItOEh2UUJjUGI?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQLWpDVlpKSTd2YVZvRmNERGJEaWFlNmp0UDFTT0FyYlVFbFVZdU5VZ2k2VGVKQUxUcTdZcE5rNWJoTlZ5d0ltVWV5Q0VhTkU5emo1RjF2cTFNOE9tYlFZa2RtcWtOMXBIN2RfYUhtV2",Sodre Uruguay
2025-12-09 08:00,ladiaria.com.uy,"Carmina Burana cierra la temporada con el Ballet, la Orquesta Sinfónica y el Coro Nacional del Sodre - ladiaria.com.uy",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPZVVBMzRmck80ckdzYzBpQ0prNUVxZ0hrSjNwOEtSaWRlZFd1UThKYVFyOEtQaHRzWFBXRFRsb29mOTBnemx0RFQ0ckJnZXhvQ2NTUGtuY2NvYVpFNGl2WXctU2lnSk9vRzJHdXVzWUg0cEsxTXJkQmVyVzZ6TzdkbzZWZG9hR2JJOEY0VkdmVmhtckgtcEl0UEpBSDJGbDhIM1VuQlVuWmNaSzVYY1dFclhwQVBTbUR0aG9qS0FRNEZMY2RUXzdFSE1kemd0dURJaWlzbTVXVXFobENHeFdPNksyb9IB8wFBVV95cUxQNVVYOS05UjEtNWVQLThIYWRPa1d6bm5BUllwLXdIdlE3bnZKRnhyN2d1TzFURHd3Zzh3T19iZzI2ZzRjT19DeC1QTnFHdkxsdzJuRktMeHZTRVRyX0pEVm9XSmF4OEFSRWdURGhDbms2M20zckNaRkk4NHRWc0EzTmczZmhoUy1JeExIallKc3NXaVhKeUlGZ2JndWoyUlMyUVZfLUFsazBrdGZCWUNLV3B0Q2p4d09UcmxXTE1hbkNWUlFkT2czOXRwc2U2cW12UW5INE1OQk1CUXhfMlFIeFFGaFdrQlV0OHFnMXRqOXh3cUU?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPZVVBMzRmck80ckdzYzBpQ0prNUVxZ0hrSjNwOEtSaWRlZFd1UThKYVFyOEtQaHRzWFBXRFRsb29mOTBnemx0RFQ0ckJnZXhvQ2NTUGtuY2NvYVpFNGl2WXctU2lnSk9vRzJHdXVzWU",Sodre Uruguay
2025-09-13 07:00,Montevideo Portal,Denunciaron por acoso laboral a director del Sodre en marzo; el caso sigue abierto - Montevideo Portal,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQVXpvamo3MDh3X1JxX1RUSVhkcVI5TnlDQU5tU0pKbzdNYXEwdFpfdXFLazBoRHA2OUhUR01OZnJiYWNZX3dMSkttM0xBRU1LZ1dJc0tLRWVmZ2NrMmFMQzI4azhsdm9HMmY1dEV1T2p5TU5uZzZ3ZmcxN0R3N0doWXJxUWdOMmZDZ2lZX3VVdVJKYlJ3Sjc2R0l3WlJXUG01OHlvTGJGb0lqUm80NURrUGtOMml0RlZxaVdWaVZzSjd4NUs0Z05HStIB7AFBVV95cUxPa2RfV2IxbFJpOHpuZkt2SEd2ZTBPQVYxaWYyZVNPeno5QXdqTUZPMnFfQXZmWUhwUzROVkxPNWVOc1lhLVczZGtzclVkVUE2cGc1Yy1OY3RKeHpCVnhveDFscURELUZyYTdxUldSNEszWm9EelFLTEhITEw3QTJCd1pFTUxxYURwdV9DX0duRXFLUzRkNTVLUVZVcEVKQ19iVi11Yy0ya0ItWFkyVGs3Ykw5MnN1NlpEWlJUdnZaVEhUT0paSXBpVDB1RUF5ZlQtalpqdWY5Z3hZSFZ2LUVyVktiVGtIY3pfcHNyRQ?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQVXpvamo3MDh3X1JxX1RUSVhkcVI5TnlDQU5tU0pKbzdNYXEwdFpfdXFLazBoRHA2OUhUR01OZnJiYWNZX3dMSkttM0xBRU1LZ1dJc0tLRWVmZ2NrMmFMQzI4azhsdm9HMmY1dEV1T2",Sodre Uruguay
2025-08-18 07:00,GUB.UY,1500 niños y niñas disfrutaron de la obra Superniña en el Auditorio Nacional del Sodre - GUB.UY,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQNy1wRVlkUVFYa2JTQ2VCT3E0Qm51cUQ2MTJ2cG1Ea0pvWl9XU2tvOERnLWk3VTRZWUFrQnB3SFl3QUpSaWRuc1pIWGhWU19JbjdGaDN6b2tEWXYtai1ncGNJUlJZNnduX1hULVRQd3JORkxCQlM3ajVueDU5Z0I1QlFKNmd0Y0pzU3AtNFRNX1BKbk9IMUxBdmc5N2p3aHNtbmdSNmRrdnZsZmhXS1lpOFpHdXAzMVRfekQ0S191cTEtUkNwRjJrRGtsSlFkODRzWHJndXBhZFZHQQ?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQNy1wRVlkUVFYa2JTQ2VCT3E0Qm51cUQ2MTJ2cG1Ea0pvWl9XU2tvOERnLWk3VTRZWUFrQnB3SFl3QUpSaWRuc1pIWGhWU19JbjdGaDN6b2tEWXYtai1ncGNJUlJZNnduX1hULVRQd3",Sodre Uruguay
2025-11-11 08:00,Montevideo Portal,Nicolas Rauss culmina su etapa como director de la Orquesta del Sodre con evento especial - Montevideo Portal,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOTktlVks1LWo4dTc1Qkxxc19tcWxQaG43bS15R25OQWJyMnNyaG1XZ09QRUlZZlhaZHFmeDBNcERaX1BPVERlR184c2FhMzJQcGVnWWwyNkxDNmdzMVVhZ0xfYWRYQ21lbkpKZkd0OVQwTy02dHhuUW52a2Y5R0wwZFNZd1NVblE4OVU5OUQyQlhmVVFCbVR5bTBmNHZ2c2xMazNMeVdJRlMtV3dMbVlpTEVYWFBKc25CNE1RaHlDWFVRY2ladk1CZ0RpYW1WYmhFU2VMZjZGRkHSAfwBQVVfeXFMT2l5eGNGbUw3N3dnbUJXYXJiQ0Vhby1mTlZMVkdDb3RfUUt0RU5UOVdjTmN0cTh3cVpsaUg0a1k2bE5uNU5mMkJILVdrN3dLRHpuYV9vVXNfSUZZU3ZuZHZUZmx5Q0xnUXV3VzJIdHFGYTc0Vlk3MEtaQ1ZCRVpXNzhoYW44d3hSTlFOSFFqa0UxRnItbWpNM1M2V01wc2JPVDV0R2JyUFczMEZCUXZLSXJxbnhMbnNCR0IwNFFDNDZQWDVNVElwRWhKTmt0X3ZGWXJBSGpHbzJhc3prdThILWd3M2FMTmRKWkZSNl9tMHBTa011akVYNENXRXF6?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOTktlVks1LWo4dTc1Qkxxc19tcWxQaG43bS15R25OQWJyMnNyaG1XZ09QRUlZZlhaZHFmeDBNcERaX1BPVERlR184c2FhMzJQcGVnWWwyNkxDNmdzMVVhZ0xfYWRYQ21lbkpKZkd0OV",Sodre Uruguay
2025-05-22 07:00,GUB.UY,Celebramos una nueva edición de Escuelas Rurales al Sodre - GUB.UY,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOUVJwMmViQUxrT3BILXdYOTlPMzgzSjN5VWt1TlF1enhSQ0dXZXdqSThmei1KcFlrUkNlbDFuUVUzdWJpU3JDSk5vRnlLVm5SSTFfVDdjNDM1MVV6SWttTFpmdTFmSWM3cnd4TVBNTXgyT1lrV2RucUVCNFM3ZnZ5T2IyRHNUaGxuV2RYVTkwRGNzZHZQTThkSUxvMFQzVVluZEhxTjd0S0hfb2h3YXJUQ08wVFFyRjNt?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOUVJwMmViQUxrT3BILXdYOTlPMzgzSjN5VWt1TlF1enhSQ0dXZXdqSThmei1KcFlrUkNlbDFuUVUzdWJpU3JDSk5vRnlLVm5SSTFfVDdjNDM1MVV6SWttTFpmdTFmSWM3cnd4TVBNTX",Sodre Uruguay
2025-08-18 07:00,GUB.UY,Proyecto Infancias al Teatro convocó a 1.500 niños a obra en el Sodre - GUB.UY,https://news.google.com/rss/articles/CBMirAFBVV95cUxPVVcwd3p6cnpGSnJFNTlHN0lWZHlzUlFLaTBRMlQ0SVIwc2c0NjFabVVQTzgyakRqdWZVVWVvTUJ6RGR5OXdxb3lqeTdzelpzOFN4bWtWQ3BrSXpvaEkxYUhoUmJfRkZwZFdmU3VIdFphbXRSOWZ2eFZVeUxJV3JrNEFQV0NnU0FDaEdGbFljQTZyaFdpdjYwcmVZMEZoSmpQemt4MmpiZ0NPX3d2?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPVVcwd3p6cnpGSnJFNTlHN0lWZHlzUlFLaTBRMlQ0SVIwc2c0NjFabVVQTzgyakRqdWZVVWVvTUJ6RGR5OXdxb3lqeTdzelpzOFN4bWtWQ3BrSXpvaEkxYUhoUmJfRkZwZFdmU3VIdF",Sodre Uruguay
2025-05-21 07:00,GUB.UY,Alumnos de escuelas rurales de todo el país presenciaron obra del Ballet Nacional del Sodre - GUB.UY,https://news.google.com/rss/articles/CBMipgFBVV95cUxPQWZNbFF5alFDU2VSYUVvSW04VGRaZlJYZ3FvZm85SkVuMnlCY0N3ekpLWUhqaHNLaHlmZ1lFUTdLdk9mUjFRY1N2RXZrbDJpLTRlSndtbE1lOU1PYkhFbDNxN1BObUdCYUpGU1VqMmRvTkVwaGZUdmc5bGFKM09Eek1oRWhTZmgxN3Y1NTYtZFVUNHR1UHZaSTBvU2E3cUtGR1Jocmp3?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPQWZNbFF5alFDU2VSYUVvSW04VGRaZlJYZ3FvZm85SkVuMnlCY0N3ekpLWUhqaHNLaHlmZ1lFUTdLdk9mUjFRY1N2RXZrbDJpLTRlSndtbE1lOU1PYkhFbDNxN1BObUdCYUpGU1VqMm",Sodre Uruguay
